Source,Target,Type,Id,Label,Weight
106,107,Undirected,0,RED-1,1
107,108,Undirected,1,RED-2,1
108,109,Undirected,2,RED-3,1
109,110,Undirected,3,RED-4,1
110,111,Undirected,4,RED-5,1
111,112,Undirected,5,RED-6,1
112,113,Undirected,6,RED-7,1
113,114,Undirected,7,RED-8,1
503,502,Undirected,294,GRN-23,1
427,496,Undirected,283,ORG-20,1
116,117,Undirected,10,RED-11,1
117,118,Undirected,11,RED-12,1
118,119,Undirected,12,RED-13,1
119,120,Undirected,13,RED-14,1
120,121,Undirected,14,RED-15,1
121,122,Undirected,15,RED-16,1
122,123,Undirected,16,RED-17,1
123,124,Undirected,17,RED-18,1
124,125,Undirected,18,RED-19,1
125,126,Undirected,19,RED-20,1
126,127,Undirected,20,RED-21,1
506,422,Undirected,301,ORG-14,1
207,206,Undirected,328,ORG-40,1
502,500,Undirected,290,GRN-24,1
62,504,Undirected,297,BLU-17,1
131,132,Undirected,25,RED-26,1
132,133,Undirected,26,RED-27,1
133,134,Undirected,27,RED-28,1
355,521,Undirected,336,GRN-28,1
17,499,Undirected,337,ORG-23.1,1
136,137,Undirected,30,RED-31,1
137,138,Undirected,31,RED-32,1
138,139,Undirected,32,RED-33,1
139,140,Undirected,33,RED-34,1
140,141,Undirected,34,RED-35,1
141,142,Undirected,35,RED-36,1
53,90,Undirected,319,BLU-8,1
46,47,Undirected,37,BLU-1,2
47,48,Undirected,38,BLU-2,1
48,49,Undirected,39,BLU-3,1
49,50,Undirected,40,BLU-4,1
501,131,Undirected,288,RED-25,1
129,501,Undirected,289,RED-24,1
52,53,Undirected,43,BLU-7,1
90,54,Undirected,320,BLU-8.1,1
54,55,Undirected,45,BLU-9,1
55,56,Undirected,46,BLU-10,1
56,57,Undirected,47,BLU-11,1
57,58,Undirected,48,BLU-12,1
58,59,Undirected,49,BLU-13,1
59,60,Undirected,50,BLU-14,1
60,61,Undirected,51,BLU-15,1
61,62,Undirected,52,BLU-16,1
206,205,Undirected,330,ORG-41,1
205,204,Undirected,331,ORG-42,1
502,430,Undirected,292,ORG-22,1
496,502,Undirected,293,ORG-21,1
66,67,Undirected,57,BLU-21,1
509,361,Undirected,307,GRN-33,1
359,509,Undirected,308,GRN-32,1
69,70,Undirected,60,BLU-24,1
229,230,Undirected,217,GRN-39,1
67,508,Undirected,306,BLU-22,1
200,229,Undirected,216,GRN-38,1
73,74,Undirected,64,BLU-28,1
74,75,Undirected,65,BLU-29,1
75,76,Undirected,66,BLU-30,1
76,77,Undirected,67,BLU-31,1
513,198,Undirected,314,RED-35.3,1
196,513,Undirected,315,RED-35.2,1
79,80,Undirected,70,BLU-34,1
80,81,Undirected,71,BLU-35,1
81,82,Undirected,72,BLU-36,1
82,83,Undirected,73,BLU-37,1
83,84,Undirected,74,BLU-38,1
84,85,Undirected,75,BLU-39,1
85,86,Undirected,76,BLU-40,1
86,87,Undirected,77,BLU-41,1
87,88,Undirected,78,BLU-42,1
435,440,Undirected,112,BLU-47.4.1.1,1
438,439,Undirected,111,BLU-47.4.2.4,1
437,438,Undirected,110,BLU-47.4.2.3,1
436,437,Undirected,109,BLU-47.4.2.2,1
435,436,Undirected,108,BLU-47.4.2.1,1
433,434,Undirected,106,BLU-47.4,1
434,435,Undirected,107,BLU-47.5,1
432,370,Directed,103,BLU-47.2,1
370,433,Directed,102,BLU-47.1,1
88,367,Undirected,101,BLU-43,1
372,373,Undirected,100,BLU-49,1
371,372,Undirected,99,BLU-48,1
370,371,Undirected,98,BLU-47,1
369,370,Undirected,97,BLU-46,1
368,369,Undirected,96,BLU-45,1
367,368,Undirected,95,BLU-44,1
440,441,Undirected,113,BLU-47.4.1.2,1
441,442,Undirected,114,BLU-47.4.1.3,1
442,443,Undirected,115,BLU-47.4.1.4,1
443,444,Undirected,116,BLU-47.4.1.5,1
444,445,Undirected,117,BLU-47.4.1.6,1
433,432,Directed,118,BLU-47.3,1
317,318,Undirected,119,RED-17.1,1
318,319,Undirected,120,RED-17.2,1
319,320,Undirected,121,RED-17.3,1
320,321,Undirected,122,RED-17.4,1
321,322,Undirected,123,RED-17.5,1
322,323,Undirected,124,RED-17.6,1
323,324,Undirected,125,RED-17.7,1
324,325,Undirected,126,RED-17.8,1
325,326,Undirected,127,RED-17.9,1
326,327,Undirected,128,RED-17.10,1
327,328,Undirected,129,RED-17.11,1
328,329,Undirected,130,RED-17.12,1
330,331,Undirected,131,RED-17.13,1
331,332,Undirected,132,RED-17.14,1
332,333,Undirected,133,RED-17.15,1
333,334,Undirected,134,RED-17.16,1
334,335,Undirected,135,RED-17.17,1
336,337,Undirected,136,RED-17.18,1
337,338,Undirected,137,RED-17.19.1,1
335,338,Undirected,138,RED-17.19.2,1
338,339,Undirected,139,RED-17.20,1
339,340,Undirected,140,RED-17.21,1
340,341,Undirected,141,RED-17.22,1
341,123,Undirected,145,RED-17.23,1
329,330,Undirected,146,RED-17.12.1,1
140,196,Undirected,148,RED-35.1,1
90,211,Undirected,323,ORG-36,1
90,206,Undirected,324,ORG-36.1,1
198,199,Undirected,151,RED-35.4,1
199,200,Undirected,152,RED-35.5,1
229,230,Undirected,153,RED-35.7,1
89,358,Undirected,344,ORG-24.6,1
234,511,Undirected,311,GRN-44,1
232,233,Undirected,156,RED-35.10,1
233,234,Undirected,157,RED-35.11,1
512,79,Undirected,312,BLU-33,1
513,363,Undirected,316,GRN-35,1
236,237,Undirected,160,RED-35.14,1
237,238,Undirected,161,RED-35.15,1
238,239,Undirected,162,RED-35.16,1
239,240,Undirected,163,RED-35.17,1
240,241,Undirected,164,RED-35.18,1
241,242,Undirected,165,RED-35.19,1
242,243,Undirected,166,RED-35.20,1
243,244,Undirected,167,RED-35.21,1
244,245,Undirected,168,RED-35.22,1
200,229,Undirected,169,RED-35.6,1
361,513,Undirected,317,GRN-34,1
380,381,Undirected,171,RED-35.13.2,1
381,382,Undirected,172,RED-35.13.3,1
382,383,Undirected,173,RED-35.13.4,1
383,384,Undirected,174,RED-35.13.5,1
384,385,Undirected,175,RED-35.13.6,1
385,386,Undirected,176,RED-35.13.7,1
303,304,Undirected,177,GRN-1,1
304,305,Undirected,178,GRN-2,1
305,306,Undirected,179,GRN-3,1
306,307,Undirected,180,GRN-4,1
307,308,Undirected,181,GRN-5,1
308,309,Undirected,182,GRN-6,1
309,310,Undirected,183,GRN-7,1
310,311,Undirected,184,GRN-8,1
311,312,Undirected,185,GRN-9,1
312,313,Undirected,186,GRN-10,1
495,52,Undirected,278,BLU-6,1
50,495,Undirected,279,BLU-5,1
315,316,Undirected,189,GRN-13,1
316,342,Undirected,190,GRN-14,1
342,343,Undirected,191,GRN-15,1
343,344,Undirected,192,GRN-16,1
344,345,Undirected,193,GRN-17,1
345,346,Undirected,194,GRN-18,1
346,347,Undirected,195,GRN-19,1
347,348,Undirected,196,GRN-20,1
348,349,Undirected,197,GRN-21,1
504,64,Undirected,296,BLU-18,1
504,129,Undirected,298,RED-23,1
501,66,Undirected,286,BLU-20,1
64,501,Undirected,287,BLU-19,1
353,354,Undirected,202,GRN-26,1
354,355,Undirected,203,GRN-27,1
494,315,Undirected,276,GRN-12,1
313,494,Undirected,277,GRN-11,1
357,358,Undirected,206,GRN-30,1
358,359,Undirected,207,GRN-31,1
511,380,Undirected,309,GRN-45.1,1
511,236,Undirected,310,GRN-45,1
142,515,Undirected,318,RED-37,1
54,90,Undirected,321,ORG-35,1
363,364,Undirected,212,GRN-36,1
364,200,Undirected,213,GRN-37,1
208,207,Undirected,327,ORG-39,1
232,233,Undirected,220,GRN-42,1
233,234,Undirected,221,GRN-43,1
77,512,Undirected,313,BLU-32,1
209,211,Undirected,325,ORG-37,1
236,237,Undirected,224,GRN-46,1
237,238,Undirected,225,GRN-47,1
209,208,Undirected,326,ORG-38,1
380,381,Undirected,227,GRN-45.2,1
381,382,Undirected,228,GRN-45.3,1
382,383,Undirected,229,GRN-45.4,1
383,384,Undirected,230,GRN-45.5,1
384,385,Undirected,231,GRN-45.6,1
385,386,Undirected,232,GRN-45.7,1
408,409,Undirected,233,ORG-1,1
409,410,Undirected,234,ORG-2,1
410,411,Undirected,235,ORG-3,1
411,412,Undirected,236,ORG-4,1
412,413,Undirected,237,ORG-5,1
413,414,Undirected,238,ORG-6,1
414,415,Undirected,239,ORG-7,1
415,416,Undirected,240,ORG-8,1
416,417,Undirected,241,ORG-9,1
417,418,Undirected,242,ORG-10,1
418,419,Undirected,243,ORG-11,1
419,420,Undirected,244,ORG-12,1
507,232,Undirected,303,GRN-41,1
230,507,Undirected,304,GRN-40,1
422,423,Undirected,247,ORG-15,1
423,424,Undirected,248,ORG-16,1
424,425,Undirected,249,ORG-17,1
425,426,Undirected,250,ORG-18,1
426,427,Undirected,251,ORG-19,1
500,353,Undirected,284,GRN-25,1
431,504,Undirected,299,ORG-25,1
349,503,Undirected,295,GRN-22,1
420,506,Undirected,302,ORG-13,1
430,17,Undirected,258,ORG-23,1
17,431,Undirected,259,ORG-24,1
204,206,Undirected,329,ORG-41.1,1
62,61,Undirected,262,ORG-27,1
61,60,Undirected,263,ORG-28,1
60,59,Undirected,264,ORG-29,1
59,58,Undirected,266,ORG-30,1
58,57,Undirected,267,ORG-31,1
57,56,Undirected,268,ORG-32,1
56,55,Undirected,269,ORG-33,1
55,54,Undirected,270,ORG-34,1
492,136,Undirected,272,RED-30,1
134,492,Undirected,273,RED-29,1
495,116,Undirected,280,RED-10,1
114,495,Undirected,281,RED-9,1
127,504,Undirected,300,RED-22,1
203,204,Undirected,332,ORG-43,1
203,202,Undirected,333,ORG-44,1
201,202,Undirected,334,ORG-45,1
521,357,Undirected,335,GRN-29,1
499,493,Undirected,338,ORG-23.2,1
493,20,Undirected,339,ORG-23.3,1
20,492,Undirected,340,ORG-23.4,1
492,89,Undirected,341,ORG-24.5,1
508,89,Undirected,342,BLU-23,1
89,69,Undirected,343,BLU-23.1,1
358,24,Undirected,345,ORG-24.7.1.1,1
358,23,Undirected,346,ORG-24.7.2.1,1
358,510,Undirected,347,ORG-24.7.3.1,1
24,510,Undirected,348,ORG-24.7.1.2,1
510,26,Undirected,349,ORG-24.7.1.3,1
510,296,Undirected,350,ORG-24.7.3.2,1
23,154,Undirected,351,ORG-24.7.2.2,1
154,156,Undirected,352,ORG-24.7.2.3,1
156,157,Undirected,353,ORG-24.7.2.4,1
157,158,Undirected,354,ORG-24.7.2.5,1
158,159,Undirected,355,ORG-24.7.2.6,1
159,160,Undirected,356,ORG-24.7.2.7,1
160,161,Undirected,357,ORG-24.7.2.8,1
161,162,Undirected,358,ORG-24.7.2.9,1
162,163,Undirected,359,ORG-24.7.2.10,1
163,164,Undirected,360,ORG-24.7.2.11,1
164,165,Undirected,361,ORG-24.7.2.12,1
165,166,Undirected,8,ORG-24.7.2.13,1
166,167,Undirected,9,ORG-24.7.2.14,1
167,168,Undirected,362,ORG-24.7.2.15,1
168,169,Undirected,363,ORG-24.7.2.16,1
169,170,Undirected,364,ORG-24.7.2.17,1
26,27,Undirected,365,ORG-27.4.1.4,1
27,74,Undirected,366,ORG-27.4.1.5,1
74,28,Undirected,367,ORG-24.7.1.6,1
28,29,Undirected,368,ORG-27.4.1.6,1
29,30,Undirected,369,ORG-27.4.1.7,1
296,295,Undirected,370,ORG-24.7.3.3,1
288,289,Undirected,371,ORG-24.7.3.4,1
289,290,Undirected,372,ORG-24.7.3.5,1
290,291,Undirected,373,ORG-24.7.3.6,1
291,292,Undirected,374,ORG-24.7.3.7,1
292,293,Undirected,375,ORG-24.7.3.8,1
293,294,Undirected,376,ORG-24.7.3.9,1
294,295,Undirected,377,ORG-24.7.3.10,1
288,84,Undirected,378,ORG-24.7.3.5,1
30,498,Undirected,379,ORG-27.4.1.8,1
32,498,Undirected,380,ORG-27.4.1.8,1
32,33,Undirected,381,ORG-24.7.1.9,1
33,34,Undirected,382,ORG-24.4.1.10,1
34,35,Undirected,383,ORG-24.7.1.11,1
35,36,Undirected,384,ORG-24.7.1.12,1
36,37,Undirected,385,ORG-24.7.1.13,1
37,38,Undirected,386,ORG-24.7.1.14,1
38,39,Undirected,387,ORG-24.7.1.15,1
39,40,Undirected,388,ORG-24.7.1.16,1
40,41,Undirected,389,ORG-24.7.1.17,1
41,42,Undirected,390,ORG-24.7.1.18,1
42,43,Undirected,391,ORG-24.7.1.19,1
43,44,Undirected,392,ORG-24.7.1.20,1
44,45,Undirected,393,ORG-24.7.1.21,1
45,172,Undirected,395,ORG-24.7.1.22,1
172,455,Undirected,396,ORG-24.7.1.23,1
455,491,Undirected,397,ORG-24.7.1.24,1
490,491,Undirected,398,ORG-24.7.1.25,1
489,490,Undirected,399,ORG-24.7.1.26,1
488,489,Undirected,400,ORG-24.7.1.27,1
487,488,Undirected,401,ORG-24.7.1.28,1
486,487,Undirected,402,ORG-24.7.1.29,1
485,486,Undirected,403,ORG-24.7.1.30,1
505,485,Undirected,404,ORG-24.7.1.31,1
483,505,Undirected,405,ORG-24.7.1.32,1
482,483,Undirected,406,ORG-24.7.1.33,1
481,482,Undirected,407,ORG-24.7.1.34,1
480,481,Undirected,408,ORG-24.7.1.35,1
5,480,Undirected,409,ORG-24.7.1.36,1
5,4,Undirected,410,ORG-24.7.1.37,1
4,3,Undirected,411,ORG-24.7.1.38,1
3,498,Undirected,412,ORG-24.7.1.39,1
498,1,Undirected,413,ORG-24.7.1.40,1
1,507,Undirected,414,ORG-24.7.1.41,1
247,248,Undirected,415,PUR-1,1
248,249,Undirected,416,PUR-2,1
248,251,Undirected,417,PUR-2.1,1
249,250,Undirected,418,PUR-3,1
250,251,Undirected,419,PUR-4,1
251,252,Undirected,420,PUR-5,1
251,506,Undirected,421,PUR-5.1,1
252,253,Undirected,423,PUR-6,1
253,506,Undirected,424,PUR-7,1
506,255,Undirected,425,PUR-8,1
255,256,Undirected,426,PUR-9,1
256,496,Undirected,427,PUR-10,1
267,496,Undirected,428,PUR-11,1
267,268,Undirected,429,PUR-12,1
268,500,Undirected,430,PUR-13,1
500,499,Undirected,431,PUR-14,1
499,501,Undirected,432,PUR-15,1
501,271,Undirected,433,PUR-16,1
91,92,Undirected,434,YEL-1,1
92,93,Undirected,435,YEL-2,1
93,94,Undirected,436,YEL-3,1
94,95,Undirected,437,YEL-4,1
95,96,Undirected,438,YEL-5,1
96,503,Undirected,439,YEL-6,1
503,98,Undirected,440,YEL-7,1
98,144,Undirected,441,YEL-8,1
144,145,Undirected,442,YEL-9,1
145,493,Undirected,443,YEL-10,1
493,150,Undirected,444,YEL-11,1
150,151,Undirected,445,YEL-12,1
151,521,Undirected,446,YEL-13,1
521,152,Undirected,447,YEL-14,1
152,153,Undirected,448,YEL-15,1
153,509,Undirected,449,YEL-16,1
509,100,Undirected,450,YEL-17,1
100,196,Undirected,451,YEL-18,1
196,102,Undirected,452,YEL-19,1
102,515,Undirected,453,YEL-20,1
515,200,Undirected,454,YEL-21,1
200,154,Undirected,455,YEL-22,1
509,154,Undirected,456,YEL-17.1,1
404,342,Undirected,464,GRN-15.1,1
404,403,Undirected,458,GRN-15.2,1
403,402,Undirected,459,GRN-15.3,1
402,401,Undirected,460,GRN-15.4,1
401,400,Undirected,461,GRN-15.5,1
400,399,Undirected,462,GRN-15.6,1
399,398,Undirected,463,GRN-15.7,1
404,398,Undirected,465,GRN-15.2.1,1
398,397,Undirected,466,GRN-15.8,1
398,393,Undirected,467,GRN-15.8.1,1
397,396,Undirected,468,GRN-15.9,1
396,395,Undirected,469,GRN-15.10,1
395,394,Undirected,470,GRN-15.11,1
394,393,Undirected,471,GRN-15.12,1
393,392,Undirected,472,GRN-15.13,1
392,391,Undirected,473,GRN-15.14,1
391,390,Undirected,474,GRN-15.15,1
390,389,Undirected,475,GRN-15.16,1
389,388,Undirected,476,GRN-15.17,1
388,387,Undirected,477,GRN-15.18,1
315,335,Undirected,478,GRN-13.1,1
335,334,Undirected,479,GRN-13.2,1
334,333,Undirected,480,GRN-13.3,1
333,332,Undirected,481,GRN-13.4,1
332,331,Undirected,482,GRN-13.5,1
331,330,Undirected,483,GRN-13.6,1
330,329,Undirected,484,GRN-13.7,1
329,328,Undirected,485,GRN-13.8,1
328,327,Undirected,486,GRN-13.9,1
327,228,Undirected,487,GRN-13.10,1
228,227,Undirected,488,GRN-13.11,1
227,226,Undirected,489,GRN-13.12,1
226,225,Undirected,490,GRN-13.13,1
225,224,Undirected,491,GRN-13.14,1
144,15,Undirected,492,YEL-9.1,1
15,458,Undirected,493,YEL-9.2,1
458,457,Undirected,494,YEL-9.3,1
457,456,Undirected,495,YEL-9.4,1
508,492,Undirected,496,GRY-1,1
492,521,Undirected,497,GRY-2,1
521,176,Undirected,498,GRY-3,1
176,177,Undirected,499,GRY-4,1
177,178,Undirected,500,GRY-5,1
180,514,Undirected,537,GRY-7,1
154,507,Undirected,538,YEL-22.1,1
180,181,Undirected,503,GRY-8,1
181,182,Undirected,504,GRY-9,1
182,183,Undirected,505,GRY-10,1
183,184,Undirected,506,GRY-11,1
184,185,Undirected,507,GRY-12,1
185,186,Undirected,508,GRY-13,1
186,187,Undirected,509,GRY-14,1
187,188,Undirected,510,GRY-15,1
188,189,Undirected,511,GRY-16,1
189,84,Undirected,512,GRY-17,1
84,190,Undirected,513,GRY-18,1
190,191,Undirected,514,GRY-19,1
191,192,Undirected,515,GRY-20,1
192,193,Undirected,516,GRY-21,1
193,194,Undirected,517,GRY-22,1
194,195,Undirected,518,GRY-23,1
12,11,Undirected,519,YEL-22.13,1
11,10,Undirected,520,YEL-22.12,1
10,9,Undirected,521,YEL-22.11,1
9,8,Undirected,522,YEL-22.10,1
8,7,Undirected,523,YEL-22.9,1
7,6,Undirected,524,YEL-22.8,1
6,5,Undirected,525,YEL-22.7,1
8,446,Undirected,526,YEL-22.10.1,1
446,447,Undirected,527,YEL-22.10.2,1
447,505,Undirected,528,YEL-22.10.3,1
449,505,Undirected,529,YEL-22.10.4,1
449,450,Undirected,530,YEL-22.10.5,1
450,451,Undirected,531,YEL-22.10.6,1
451,452,Undirected,532,YEL-22.10.7,1
452,453,Undirected,533,YEL-22.10.8,1
453,454,Undirected,534,YEL-22.10.9,1
454,455,Undirected,535,YEL-22.10.10,1
178,514,Undirected,536,GRY-6,1
507,1,Undirected,539,YEL-22.2,1
1,498,Undirected,540,YEL-22.3,1
498,3,Undirected,541,YEL-22.4,1
3,4,Undirected,542,YEL-22.5,1
4,5,Undirected,543,YEL-22.6,1
75,223,Undirected,546,LGR-1,1
223,222,Undirected,547,LGR-18,1
221,222,Undirected,548,LGR-17,1
220,221,Undirected,549,LGR-16,1
219,220,Undirected,550,LGR-15,1
218,219,Undirected,551,LGR-14,1
217,218,Undirected,552,LGR-13,1
217,514,Undirected,553,LGR-12,1
215,514,Undirected,554,LGR-11,1
215,212,Undirected,555,LGR-10,1
212,214,Undirected,556,LGR-9,1
496,214,Undirected,557,LGR-8,1
75,28,Undirected,558,LGR-7,1
29,28,Undirected,559,LGR-6,1
29,30,Undirected,560,LGR-5,1
30,498,Undirected,561,LGR-5,1
32,498,Undirected,562,LGR-4,1
33,32,Undirected,563,LGR-3,1
34,33,Undirected,564,LGR-2,1
35,34,Undirected,565,LGR-1,1
